Date,Open,Price,High,Low,Close,Volume,cpi
6/4/2018,90.09,83.68,92.73,89.55,92,412386.69,5.493768
5/31/2018,91.27,83.55,91.27,88.18,89.36,309290.29,5.5579
5/30/2018,90.91,83.68,91.82,89.45,90.09,222612.49,5.5579
5/29/2018,91.82,83.74,92.36,90.18,90.73,190946.79,5.5579
5/28/2018,91.27,83.68,92.73,90.09,90.45,115106.2,5.5579
5/24/2018,90.82,83.59,92.09,90.64,91.36,377219.69,5.5579
5/23/2018,91.09,83.64,91.82,90,90.55,134160.4,5.5579
5/22/2018,91.82,83.62,92.55,90.55,91.09,333147.09,5.5579
5/21/2018,91.73,83.58,93.91,91,91.27,248388.79,5.5579
5/17/2018,92.91,83.68,94.55,90,90.82,201376.99,5.5579
5/16/2018,93.73,83.7,94,93,93.45,298293.59,5.5579
5/15/2018,93.73,83.78,94.27,93.64,94,134270.4,5.5579
5/14/2018,93.73,83.69,94.36,93.36,93.91,242461.99,5.5579
5/10/2018,93.18,83.69,94.91,93.18,94,171172.09,5.5579
5/9/2018,95.09,83.6,95.82,92.64,93.73,166980,5.5579
5/8/2018,95.55,83.59,95.82,93.73,94.09,220476.29,5.5579
5/7/2018,95.91,83.58,96.45,95.36,95.55,143235.4,5.5579
5/3/2018,96,83.61,97.82,96,97.45,240901.09,5.5579
4/30/2018,97.73,83.68,98.18,95.55,95.91,264837.09,5.65293
4/26/2018,96.09,83.52,98.45,96.09,96.91,267106.39,5.65293
4/25/2018,96.27,83.67,97.27,96.18,96.55,65663.4,5.65293
4/24/2018,96.73,83.81,98.09,95.55,95.73,314048.89,5.65293
4/23/2018,97.09,83.81,97.64,96.09,96.36,184010.19,5.65293
4/19/2018,96.73,83.77,98.91,96.45,98.45,482883.49,5.65293
4/18/2018,97.18,83.82,97.18,96.36,96.73,97517.2,5.65293
4/17/2018,97.09,83.95,98.18,96.73,97.45,359385.39,5.65293
4/16/2018,95.82,83.81,97,95.36,96.73,210577.39,5.65293
4/12/2018,97,83.81,97.45,95,95.55,208404.89,5.65293
4/11/2018,97.18,83.81,97.91,96.45,96.91,292816.69,5.65293
4/10/2018,99.27,84.03,99.45,96,96.45,386637.89,5.65293
4/9/2018,98.64,84.5,99.45,98.18,98.91,720474.68,5.65293
4/5/2018,96.55,84.5,99.27,96.27,99.09,1185424.87,5.65293
4/4/2018,97.18,84.5,97.55,96.36,97,427430.29,5.65293
4/3/2018,97.73,84.5,99.36,96.18,96.55,1348674.76,5.65293
4/2/2018,96.36,84.5,97.64,95.09,97.09,999294.97,5.65293
3/29/2018,91.36,84.5,94,91.36,93.45,477758.59,5.733055
3/28/2018,92.27,84.5,92.27,90.91,91.18,217007.99,5.733055
3/27/2018,91.09,84.5,91.82,90.64,91,105834.3,5.733055
3/22/2018,92.91,84.5,93.09,91.27,92.64,141268.6,5.733055
3/21/2018,93.18,84.5,94.09,92.09,92.73,315363.39,5.733055
3/20/2018,93,84.5,94.55,92.45,93.73,320726.99,5.733055
3/19/2018,94.36,84.5,94.36,93,93.64,152432.5,5.733055
3/15/2018,91.82,84.5,94.82,91.82,94.36,413207.29,5.733055
3/14/2018,92.36,84.5,92.73,91.27,91.82,290853.19,5.733055
3/13/2018,93.73,84.5,93.91,90.82,91.36,261111.39,5.733055
3/12/2018,95.36,84.5,95.36,93.64,93.82,196408.29,5.733055
3/8/2018,94.18,84.5,94.91,94.09,94.55,180702.49,5.733055
3/7/2018,95.82,84.5,95.91,93.45,94.55,1081962.17,5.733055
3/6/2018,96,84.5,96.55,95.36,95.64,377853.29,5.733055
3/5/2018,96.45,83.81,97.64,95.73,96,422751.99,5.733055
3/1/2018,95.73,83.8,96.36,95.36,96,478349.29,5.733055
2/28/2018,96.36,83.8,97.64,94.55,95.64,730244.88,5.764121
2/27/2018,96.18,83.9,97.09,95,96.45,775677.08,5.764121
2/26/2018,96.18,83.97,97.45,94.18,95.36,536386.38,5.764121
2/22/2018,97.09,83.83,98.82,96.55,96.73,471486.39,5.764121
2/20/2018,97.82,83.83,98.36,96,96.27,914126.37,5.764121
2/19/2018,98.36,83.8,98.64,96.55,97.09,598787.18,5.764121
2/15/2018,101.64,83.75,102.18,99.09,99.82,714166.18,5.764121
2/14/2018,99.36,84.5,102.27,99.36,101.18,1578659.45,5.764121
2/13/2018,99.45,84.5,100,98.36,98.82,672311.18,5.764121
2/12/2018,101.45,84.5,101.82,98.82,99.36,331478.39,5.764121
2/8/2018,101.64,84.5,102.36,100.27,101.64,724058.48,5.764121
2/7/2018,99.27,84.5,103.18,98.27,101,2765805.82,5.764121
2/6/2018,99.27,84.5,100.82,98.91,99.27,880511.47,5.764121
2/5/2018,97.09,84.5,100.09,95.91,99.18,2131354.44,5.764121
2/1/2018,96.82,84.6,97.27,96.18,97.09,391202.89,5.764121
1/31/2018,96.36,84.53,98,94.64,96.73,428954.89,5.917338
1/30/2018,99,84.53,99.27,95.45,96.27,576938.98,5.917338
1/29/2018,98.27,84.65,99.55,96.27,98.64,797978.48,5.917338
1/25/2018,100.09,84.65,100.36,98.36,99.27,853062.07,5.917338
1/24/2018,100.18,83.8,102.36,99.27,100.36,1832046.65,5.917338
1/23/2018,97.73,84.65,100.73,97.27,100.09,4010209.38,5.917338
1/22/2018,97.73,84.65,98.64,95.55,97.27,847118.77,5.917338
1/18/2018,93.73,84.5,94.36,93,93.73,265049.39,5.917338
1/17/2018,93.64,83.79,94.64,92.73,93.73,267104.19,5.917338
